PRcon534_47:7	i	PP(PP)	i
PRcon534_47:8	i	PP(PP)	i
PRcon534_47:9	do	VVP(VVP)	do
PRcon534_47:10	n't	RB(RB)	not
PRcon534_47:11	know	VV(VV)	know
PRcon534_47:12	but	CC(CC)	but
PRcon534_47:13	er	UH(UH)	er
PRcon534_47:14	_1	PA(PA)	
PRcon534_47:15	is	VBZ(VBZ)	be
PRcon534_47:16	it	PP(PP)	it
PRcon534_47:17	's	VBS(VBS)	be
PRcon534_47:18	it	PP(PP)	it
PRcon534_47:19	's	VBS(VBS)	be
PRcon534_47:20	of	RB(RB)	of
PRcon534_47:21	course	RB(RB)	course
PRcon534_47:22	clear	JJ(JJ)	clear
PRcon534_47:23	that	IN(IN)	that
PRcon534_47:24	er	UH(UH)	er
PRcon534_47:25	_0	PA(PA)	
PRcon534_47:26	see	VV(VV)	see
PRcon534_47:27	that	IN(IN)	that
PRcon534_47:28	the	DT(DT)	the
PRcon534_47:29	idea	NN(NN)	idea
PRcon534_47:30	of	IN(IN)	of
PRcon534_47:31	the	DT(DT)	the
PRcon534_47:32	swiss	NN(NN)	swiss
PRcon534_47:33	cheese	NN(NN)	cheese
PRcon534_47:34	had	VHD(VHD)	have
PRcon534_47:35	nothing	NN(NN)	nothing
PRcon534_47:36	the	DT(DT)	the
PRcon534_47:37	particular	JJ(JJ)	particular
PRcon534_47:38	to	TO(TO)	to
PRcon534_47:39	do	VV(VV)	do
PRcon534_47:40	with	IN(IN)	with
PRcon534_47:41	s_c	SYM(SYM)	s_c
PRcon534_47:42	two	CD(CD)	two
PRcon534_47:43	we	PP(PP)	we
PRcon534_47:44	started	VVD(VVD)	start
PRcon534_47:45	with	IN(IN)	with
PRcon534_47:46	s_c	SYM(SYM)	s_c
PRcon534_47:47	two	CD(CD)	two
PRcon534_47:48	because	IN(IN)	because
PRcon534_47:49	s_c	SYM(SYM)	s_c
PRcon534_47:50	two	CD(CD)	two
PRcon534_47:51	is	VBZ(VBZ)	be
PRcon534_47:52	easy	JJ(JJ)	easy
PRcon534_47:53	_0	PA(PA)	

PRcon534_48:1	right	DM(DM)	right
PRcon534_48:2	_0	PA(PA)	

PRcon534_49:1	then	RB(RB)	then
PRcon534_49:2	we	PP(PP)	we
PRcon534_49:3	stopped	VVD(VVD)	stop
PRcon534_49:4	with	IN(IN)	with
PRcon534_49:5	_0	PA(PA)	
PRcon534_49:6	s_c	SYM(SYM)	s_c
PRcon534_49:7	two	CD(CD)	two
PRcon534_49:8	because	IN(IN)	because
PRcon534_49:9	w-	XX(XX)	
PRcon534_49:10	ft-	XX(XX)	
PRcon534_49:11	_0	PA(PA)	
PRcon534_49:12	we	PP(PP)	we
PRcon534_49:13	realized	VVD(VVD)	realize
