PRcon599_85:7	may	MD(MD)	may
PRcon599_85:8	take	VV(VV)	take
PRcon599_85:9	more	JJR(JJR)	more
PRcon599_85:10	time	NN(NN)	time
PRcon599_85:11	for	IN(IN)	for
PRcon599_85:12	the	DT(DT)	the
PRcon599_85:13	for	IN(IN)	for
PRcon599_85:14	your	PP$(PP$)	you
PRcon599_85:15	s_phd	NN(NN)	s_phd
PRcon599_85:16	thesis	NN(NN)	thesis
PRcon599_85:17	_0	PA(PA)	
PRcon599_85:18	but	CC(CC)	but
PRcon599_85:19	er	UH(UH)	er
PRcon599_85:20	in	IN(IN)	in
PRcon599_85:21	that	DT(DT)	that
PRcon599_85:22	case	NN(NN)	case

